PLAYER,POS,POS_RANK,IS_TIED,CTRY,TO_PAR,MADE_CUT,CUT_MARGIN,ROUND_1_COURSE,ROUND_1_SCORE,ROUND_1_TO_PAR,ROUND_2_COURSE,ROUND_2_START,ROUND_2_SCORE,ROUND_2_TO_PAR,TOTAL_SCORE,COURSE_SEQUENCE,R1_HOLE_1,R1_HOLE_2,R1_HOLE_3,R1_HOLE_4,R1_HOLE_5,R1_HOLE_6,R1_HOLE_7,R1_HOLE_8,R1_HOLE_9,R1_HOLE_10,R1_HOLE_11,R1_HOLE_12,R1_HOLE_13,R1_HOLE_14,R1_HOLE_15,R1_HOLE_16,R1_HOLE_17,R1_HOLE_18,R1_OUT,R1_IN,R2_HOLE_1,R2_HOLE_2,R2_HOLE_3,R2_HOLE_4,R2_HOLE_5,R2_HOLE_6,R2_HOLE_7,R2_HOLE_8,R2_HOLE_9,R2_HOLE_10,R2_HOLE_11,R2_HOLE_12,R2_HOLE_13,R2_HOLE_14,R2_HOLE_15,R2_HOLE_16,R2_HOLE_17,R2_HOLE_18,R2_OUT,R2_IN,R1_EAGLES,R1_BIRDIES,R1_PARS,R1_BOGEYS,R1_DOUBLES_PLUS,R2_EAGLES,R2_BIRDIES,R2_PARS,R2_BOGEYS,R2_DOUBLES_PLUS,BEST_NINE_SCORE,BEST_NINE_LABEL,ROUND_DIFFERENTIAL,IMPROVED_R2,SCORING_AVERAGE,CONSISTENCY_SCORE,LAKE_SCORE,OCEAN_SCORE,COURSE_DIFFERENTIAL,R1_FRONT_VS_BACK,R2_FRONT_VS_BACK,STARTED_HOT,FINISHED_STRONG,MOMENTUM_SCORE,R1_RANK,R2_RANK,RANK_CHANGE,PERCENTILE,HAS_COMPLETE_HOLES,MISSING_HOLES_COUNT
Garrett Risner,T8,8,True,United States of America,-1,True,56,Lake,71,1,Ocean,Back,68,-2,139,Lake→Ocean,4,4,3,4,4,4,5,2,5,5,4,4,3,3,3,5,5,4,35,36,4,4,4,4,3,4,3,3,4,3,4,3,4,4,4,4,4,5,33,35,0.0,2.0,13.0,3.0,0.0,0.0,5.0,10.0,3.0,0.0,33,R2 Front,-3,True,69.5,3,71,68,3,-1,-2,True,False,1.6,,8,,2.564102564102564,True,0
Eric Lee,T8,8,True,United States of America,-1,True,56,Ocean,68,-2,Lake,Back,71,1,139,Ocean→Lake,4,3,5,5,3,3,3,3,4,3,5,4,4,4,4,5,2,4,33,35,4,5,3,4,5,4,3,4,4,4,5,4,3,3,3,5,4,4,36,35,0.0,4.0,12.0,2.0,0.0,0.0,3.0,11.0,4.0,0.0,33,R1 Front,3,False,69.5,3,71,68,3,-2,1,True,True,1.4,,8,,2.564102564102564,True,0
Jackson Koivun,T8,8,True,United States of America,-1,True,56,Ocean,68,-2,Lake,Back,71,1,139,Ocean→Lake,4,4,4,4,3,3,4,4,4,2,5,4,3,5,4,4,3,4,34,34,5,4,3,4,5,4,3,3,4,4,4,5,3,3,3,5,4,5,35,36,0.0,4.0,12.0,2.0,0.0,0.0,3.0,11.0,4.0,0.0,34,R1 Front,3,False,69.5,3,71,68,3,0,-1,False,False,-0.6,,8,,2.564102564102564,True,0
Charlie Forster,T8,8,True,England,-1,True,56,Ocean,66,-4,Lake,Front,73,3,139,Ocean→Lake,4,3,4,5,2,3,4,3,3,3,4,4,3,4,4,4,3,6,31,35,4,4,4,7,5,4,3,3,3,4,5,4,5,4,1,4,5,4,37,36,0.0,6.0,11.0,0.0,1.0,1.0,3.0,9.0,3.0,2.0,31,R1 Front,7,False,69.5,7,73,66,7,-4,1,True,True,0.6000000000000001,,8,,2.564102564102564,True,0
William Sides,T8,8,True,United States of America,-1,True,56,Ocean,71,1,Lake,Front,68,-2,139,Ocean→Lake,4,3,5,5,2,3,4,4,4,3,5,4,4,5,3,5,3,5,34,37,4,4,4,4,4,3,3,4,5,3,4,4,2,4,3,5,4,4,35,33,0.0,3.0,11.0,4.0,0.0,0.0,5.0,10.0,3.0,0.0,33,R2 Back,-3,True,69.5,3,68,71,-3,-3,2,True,True,2.6,,8,,2.564102564102564,True,0
Andrew Bailey,T16,16,True,United States of America,E,True,48,Ocean,72,2,Lake,Back,68,-2,140,Ocean→Lake,5,3,4,4,3,6,5,4,4,3,5,3,4,4,4,4,3,4,38,34,4,4,3,4,3,4,4,2,3,4,4,5,2,4,3,5,5,5,31,37,0.0,2.0,13.0,2.0,1.0,0.0,4.0,12.0,2.0,0.0,31,R2 Front,-4,True,70.0,4,68,72,-4,4,-6,False,False,0.8,,16,,5.128205128205128,True,0
Arni Sveinsson,T16,16,True,Iceland,E,True,48,Ocean,68,-2,Lake,Front,72,2,140,Ocean→Lake,4,4,3,4,3,4,4,4,4,3,5,4,3,4,4,4,3,4,34,34,5,4,4,4,3,4,4,3,4,4,6,4,3,4,3,5,4,4,35,37,0.0,3.0,14.0,1.0,0.0,0.0,2.0,13.0,2.0,1.0,34,R1 Front,4,False,70.0,4,72,68,4,0,-2,False,False,-0.8,,16,,5.128205128205128,True,0
Christiaan Maas,T16,16,True,South Africa,E,True,48,Lake,69,-1,Ocean,Back,71,1,140,Lake→Ocean,4,4,3,4,5,4,5,2,3,4,4,4,3,4,3,5,4,4,34,35,4,4,5,5,2,4,3,4,4,3,5,4,4,5,4,4,3,4,35,36,0.0,3.0,13.0,2.0,0.0,0.0,2.0,13.0,3.0,0.0,34,R1 Front,2,False,70.0,2,69,71,-2,-1,-1,True,False,0.6,,16,,5.128205128205128,True,0
Mahanth Chirravuri,T16,16,True,United States of America,E,True,48,Ocean,73,3,Lake,Front,67,-3,140,Ocean→Lake,5,2,3,4,4,4,4,4,4,4,7,6,3,3,4,4,4,4,34,39,4,4,3,4,5,4,4,2,4,4,4,4,3,3,3,4,4,4,34,33,0.0,5.0,7.0,4.0,2.0,0.0,4.0,13.0,1.0,0.0,33,R2 Back,-6,True,70.0,6,67,73,-6,-5,1,True,True,3.2,,16,,5.128205128205128,True,0
Frankie Harris,T16,16,True,United States of America,E,True,48,Lake,72,2,Ocean,Front,68,-2,140,Lake→Ocean,4,4,3,4,5,4,5,3,4,3,6,4,3,4,3,5,3,5,36,36,7,2,3,4,3,3,4,3,4,3,5,3,4,4,4,4,3,5,33,35,1.0,1.0,12.0,3.0,1.0,0.0,6.0,10.0,1.0,1.0,33,R2 Front,-4,True,70.0,4,72,68,4,0,-2,False,False,0.8,,16,,5.128205128205128,True,0
Luke Poulter,T16,16,True,England,E,True,48,Ocean,70,0,Lake,Front,70,0,140,Ocean→Lake,4,4,4,4,3,4,3,5,4,4,5,4,4,5,3,4,3,3,35,35,4,5,3,3,4,4,3,4,4,4,4,4,3,6,3,4,4,4,34,36,0.0,4.0,10.0,4.0,0.0,0.0,4.0,11.0,2.0,1.0,34,R2 Front,0,False,70.0,0,70,70,0,0,-2,False,False,0.0,,16,,5.128205128205128,True,0
Davis Johnson,T16,16,True,United States of America,E,True,48,Lake,68,-2,Ocean,Back,72,2,140,Lake→Ocean,5,4,3,4,3,4,4,4,4,3,4,4,3,4,3,4,5,3,35,33,7,3,4,4,3,4,4,4,4,3,5,3,5,4,4,4,3,4,37,35,0.0,4.0,12.0,2.0,0.0,0.0,2.0,14.0,1.0,1.0,33,R1 Back,4,False,70.0,4,68,72,-4,2,2,False,True,0.19999999999999996,,16,,5.128205128205128,True,0
Billy Davis,T23,23,True,United States of America,+1,True,41,Ocean,69,-1,Lake,Back,72,2,141,Ocean→Lake,4,3,4,5,3,4,4,4,4,3,4,5,4,4,3,4,3,4,35,34,5,5,4,5,4,4,4,3,3,4,3,4,3,4,4,4,4,5,37,35,0.0,2.0,15.0,1.0,0.0,0.0,4.0,8.0,6.0,0.0,34,R1 Back,3,False,70.5,3,72,69,3,1,2,False,True,0.4,,23,,7.371794871794872,True,0
John Daly II,T23,23,True,United States of America,+1,True,41,Lake,74,4,Ocean,Front,67,-3,141,Lake→Ocean,5,4,4,3,3,5,4,4,4,5,4,4,5,3,3,5,4,5,36,38,4,4,4,4,3,3,4,4,4,3,4,4,3,4,5,4,3,3,34,33,0.0,4.0,7.0,6.0,1.0,0.0,5.0,11.0,2.0,0.0,33,R2 Back,-7,True,70.5,7,74,67,7,-2,1,True,True,3.4,,23,,7.371794871794872,True,0
Clark Van Gaalen,T23,23,True,United States of America,+1,True,41,Ocean,71,1,Lake,Back,70,0,141,Ocean→Lake,5,3,4,4,3,4,8,4,4,2,4,4,3,4,5,4,3,3,39,32,4,5,3,4,6,4,4,3,3,4,4,3,3,3,2,5,5,5,36,34,0.0,5.0,10.0,2.0,1.0,0.0,4.0,11.0,2.0,1.0,32,R1 Back,-1,True,70.5,1,70,71,-1,7,2,False,True,1.2,,23,,7.371794871794872,True,0
Parker Claxton,T23,23,True,United States of America,+1,True,41,Lake,72,2,Ocean,Back,69,-1,141,Lake→Ocean,5,4,3,4,5,5,3,4,3,4,4,5,3,4,2,6,4,4,36,36,5,3,4,5,4,3,4,4,3,3,4,4,4,4,4,5,2,4,35,34,0.0,4.0,8.0,6.0,0.0,0.0,4.0,11.0,3.0,0.0,34,R2 Back,-3,True,70.5,3,72,69,3,0,1,False,True,1.6,,23,,7.371794871794872,True,0
David Liechty,T23,23,True,United States of America,+1,True,41,Lake,72,2,Ocean,Front,69,-1,141,Lake→Ocean,6,5,3,4,4,4,4,3,4,3,5,5,3,3,3,5,4,4,37,35,5,4,4,4,2,3,4,6,4,3,5,4,3,4,4,4,2,4,36,33,0.0,3.0,11.0,3.0,1.0,0.0,5.0,10.0,2.0,1.0,33,R2 Back,-3,True,70.5,3,72,69,3,2,3,False,True,1.6,,23,,7.371794871794872,True,0
Chase Nevins,T23,23,True,United States of America,+1,True,41,Lake,71,1,Ocean,Front,70,0,141,Lake→Ocean,4,4,3,4,5,4,5,3,3,5,4,5,3,4,3,5,4,3,35,36,4,4,3,5,3,4,4,4,4,4,5,4,3,4,3,4,3,5,35,35,0.0,3.0,11.0,4.0,0.0,0.0,3.0,12.0,3.0,0.0,35,R1 Front,-1,True,70.5,1,71,70,1,-1,0,True,False,1.2,,23,,7.371794871794872,True,0
Tom Fischer,T23,23,True,United States of America,+1,True,41,Ocean,71,1,Lake,Front,70,0,141,Ocean→Lake,3,3,4,4,3,4,5,5,4,3,5,4,4,4,5,4,3,4,35,36,4,4,3,4,4,4,3,2,5,4,5,4,3,4,3,5,5,4,33,37,0.0,2.0,13.0,3.0,0.0,0.0,2.0,14.0,2.0,0.0,33,R2 Front,-1,True,70.5,1,70,71,-1,-1,-4,True,False,1.2,,23,,7.371794871794872,True,0
Nate Gahman,T23,23,True,United States of America,+1,True,41,Ocean,71,1,Lake,Front,70,0,141,Ocean→Lake,5,2,5,5,3,5,4,4,4,3,4,4,5,4,3,4,3,4,37,34,4,4,3,4,3,3,4,4,3,4,4,5,4,4,3,5,4,5,32,38,0.0,3.0,11.0,4.0,0.0,0.0,4.0,10.0,4.0,0.0,32,R2 Front,-1,True,70.5,1,70,71,-1,3,-6,False,False,0.2,,23,,7.371794871794872,True,0
Tyler Weaver,T23,23,True,England,+1,True,41,Lake,71,1,Ocean,Back,70,0,141,Lake→Ocean,5,5,2,5,4,4,3,3,4,4,4,4,3,4,3,5,4,5,35,36,5,3,4,3,3,4,4,4,5,3,5,4,4,4,5,3,3,4,35,35,0.0,3.0,11.0,4.0,0.0,1.0,1.0,13.0,3.0,0.0,35,R1 Front,-1,True,70.5,1,71,70,1,-1,0,True,False,1.2,,23,,7.371794871794872,True,0
Pongsapak Laopakdee,T23,23,True,Thailand,+1,True,41,Ocean,70,0,Lake,Front,71,1,141,Ocean→Lake,3,3,4,5,3,4,4,3,4,4,5,4,4,4,4,4,4,4,33,37,4,4,3,4,5,3,4,3,4,4,4,4,3,4,3,5,6,4,34,37,0.0,2.0,14.0,2.0,0.0,0.0,1.0,15.0,2.0,0.0,33,R1 Front,1,False,70.5,1,71,70,1,-4,-3,True,False,0.8,,23,,7.371794871794872,True,0
Josh Duangmanee,T33,33,True,United States of America,+2,True,31,Lake,73,3,Ocean,Front,69,-1,142,Lake→Ocean,5,4,3,4,5,5,3,3,4,5,4,4,3,3,3,5,5,5,36,37,4,5,4,4,3,4,3,4,4,4,5,4,4,3,4,4,2,4,35,34,0.0,2.0,11.0,5.0,0.0,0.0,4.0,12.0,1.0,1.0,34,R2 Back,-4,True,71.0,4,73,69,4,-1,1,True,True,2.8,,33,,10.576923076923077,True,0
Wolfgang Glawe,T33,33,True,Germany,+2,True,31,Lake,72,2,Ocean,Front,70,0,142,Lake→Ocean,4,4,3,5,5,4,4,3,4,4,4,4,3,4,3,5,5,4,36,36,5,4,3,5,3,4,4,4,4,3,4,5,4,4,4,4,3,3,36,34,0.0,0.0,16.0,2.0,0.0,0.0,3.0,12.0,3.0,0.0,34,R2 Back,-2,True,71.0,2,72,70,2,0,2,False,True,1.4,,33,,10.576923076923077,True,0
William Jennings,T33,33,True,United States of America,+2,True,31,Ocean,70,0,Lake,Back,72,2,142,Ocean→Lake,4,3,4,4,3,3,4,3,4,3,6,4,5,5,4,5,2,4,32,38,5,4,4,5,5,4,4,4,3,4,4,4,2,3,3,5,4,5,38,34,0.0,4.0,10.0,4.0,0.0,0.0,4.0,8.0,6.0,0.0,32,R1 Front,2,False,71.0,2,72,70,2,-6,4,True,True,1.6,,33,,10.576923076923077,True,0
Cameron Tankersley,T33,33,True,United States of America,+2,True,31,Lake,69,-1,Ocean,Front,73,3,142,Lake→Ocean,5,4,4,4,3,3,5,3,4,4,4,5,3,3,3,4,5,3,35,34,5,3,5,5,2,6,4,4,4,3,5,4,3,4,5,4,3,4,38,35,0.0,5.0,9.0,4.0,0.0,0.0,2.0,12.0,3.0,1.0,34,R1 Back,4,False,71.0,4,69,73,-4,1,3,False,True,0.19999999999999996,,33,,10.576923076923077,True,0
Rintaro Nakano,T33,33,True,Japan,+2,True,31,Lake,75,5,Ocean,Back,67,-3,142,Lake→Ocean,5,5,3,5,4,4,5,4,4,4,4,4,3,4,3,5,5,4,39,36,4,3,4,5,3,4,3,4,4,3,5,4,3,3,4,4,3,4,34,33,0.0,0.0,13.0,5.0,0.0,0.0,3.0,15.0,0.0,0.0,33,R2 Back,-8,True,71.0,8,75,67,8,3,1,False,True,2.6,,33,,10.576923076923077,True,0
Connor Graham,T33,33,True,Scotland,+2,True,31,Lake,72,2,Ocean,Front,70,0,142,Lake→Ocean,5,4,2,4,4,4,4,4,5,3,4,4,4,4,3,6,5,3,36,36,4,4,5,4,4,5,4,4,3,3,4,4,3,4,4,4,3,4,37,33,0.0,3.0,10.0,5.0,0.0,0.0,4.0,10.0,4.0,0.0,33,R2 Back,-2,True,71.0,2,72,70,2,0,4,False,True,1.4,,33,,10.576923076923077,True,0
Max Herendeen,T33,33,True,United States of America,+2,True,31,Ocean,69,-1,Lake,Front,73,3,142,Ocean→Lake,5,3,4,5,4,4,4,3,4,3,4,4,4,4,4,3,2,5,36,33,4,5,3,4,3,6,3,5,4,4,4,4,3,4,3,5,5,4,37,36,0.0,4.0,11.0,3.0,0.0,0.0,2.0,13.0,1.0,2.0,33,R1 Back,4,False,71.0,4,73,69,4,3,1,False,True,0.19999999999999996,,33,,10.576923076923077,True,0
Andrew Tan,T33,33,True,United States of America,+2,True,31,Lake,75,5,Ocean,Front,67,-3,142,Lake→Ocean,4,4,3,4,4,5,4,6,3,4,4,4,3,5,3,7,5,3,37,38,4,3,3,5,3,4,4,4,4,2,5,3,4,4,5,3,3,4,34,33,0.0,2.0,12.0,2.0,2.0,0.0,4.0,13.0,1.0,0.0,33,R2 Back,-8,True,71.0,8,75,67,8,-1,1,True,True,3.6,,33,,10.576923076923077,True,0
Aston Lim,T33,33,True,United States of America,+2,True,31,Ocean,71,1,Lake,Back,71,1,142,Ocean→Lake,4,4,4,5,2,4,4,4,5,4,5,4,3,4,3,4,4,4,36,35,5,4,3,6,4,4,4,3,4,4,4,3,3,4,3,4,5,4,37,34,0.0,3.0,11.0,4.0,0.0,0.0,2.0,14.0,1.0,1.0,34,R2 Back,0,False,71.0,0,71,71,0,1,3,False,True,1.0,,33,,10.576923076923077,True,0
Jackson Herrington,T33,33,True,United States of America,+2,True,31,Lake,69,-1,Ocean,Front,73,3,142,Lake→Ocean,4,4,3,5,3,5,3,3,3,4,4,5,2,4,3,5,5,4,33,36,4,4,5,4,4,4,4,4,6,3,5,4,3,4,4,4,3,4,39,34,0.0,4.0,11.0,3.0,0.0,0.0,2.0,12.0,3.0,1.0,33,R1 Front,4,False,71.0,4,69,73,-4,-3,5,True,True,1.2,,33,,10.576923076923077,True,0
Cohen Trolio,T33,33,True,United States of America,+2,True,31,Lake,72,2,Ocean,Front,70,0,142,Lake→Ocean,5,4,4,4,5,4,4,3,4,4,4,5,2,3,3,6,5,3,37,35,4,3,4,5,2,6,4,3,4,3,5,4,4,5,3,4,3,4,35,35,0.0,3.0,10.0,5.0,0.0,0.0,3.0,13.0,1.0,1.0,35,R1 Back,-2,True,71.0,2,72,70,2,2,0,False,False,0.4,,33,,10.576923076923077,True,0
Kolton Crawford,T33,33,True,United States of America,+2,True,31,Lake,72,2,Ocean,Back,70,0,142,Lake→Ocean,4,3,4,3,5,4,4,5,5,3,4,5,3,3,3,6,4,4,37,35,4,4,5,5,3,3,4,3,3,3,4,4,4,5,5,4,3,4,34,36,0.0,5.0,7.0,5.0,1.0,0.0,4.0,10.0,4.0,0.0,34,R2 Front,-2,True,71.0,2,72,70,2,2,-2,False,False,0.4,,33,,10.576923076923077,True,0
Ben James,T33,33,True,United States of America,+2,True,31,Ocean,72,2,Lake,Back,70,0,142,Ocean→Lake,5,3,3,5,3,4,4,3,5,3,5,4,4,4,4,5,3,5,35,37,5,4,3,4,4,5,4,2,4,4,4,5,3,3,3,7,3,3,35,35,0.0,2.0,12.0,4.0,0.0,1.0,3.0,10.0,3.0,1.0,35,R1 Front,-2,True,71.0,2,70,72,-2,-2,0,True,False,1.4,,33,,10.576923076923077,True,0
Cooper Claycomb,T33,33,True,United States of America,+2,True,31,Ocean,72,2,Lake,Front,70,0,142,Ocean→Lake,4,4,4,4,3,4,4,4,4,3,6,4,4,4,4,4,3,5,35,37,4,4,2,5,5,4,3,5,4,4,3,4,3,4,2,5,5,4,36,34,0.0,1.0,14.0,3.0,0.0,0.0,4.0,11.0,2.0,1.0,34,R2 Back,-2,True,71.0,2,70,72,-2,-2,2,True,True,2.4,,33,,10.576923076923077,True,0
Luke Colton,T33,33,True,United States of America,+2,True,31,Lake,70,0,Ocean,Back,72,2,142,Lake→Ocean,4,4,3,5,5,3,4,3,4,4,4,4,3,4,3,5,5,3,35,35,4,3,5,4,2,6,3,4,5,3,5,5,4,4,4,4,3,4,36,36,0.0,2.0,14.0,2.0,0.0,0.0,3.0,11.0,3.0,1.0,35,R1 Front,2,False,71.0,2,70,72,-2,0,0,False,False,-0.4,,33,,10.576923076923077,True,0
Ryan Voois,T48,48,True,United States of America,+3,True,16,Ocean,71,1,Lake,Back,72,2,143,Ocean→Lake,4,4,3,4,3,4,4,3,4,3,5,4,5,4,5,4,3,5,33,38,4,4,4,6,5,4,3,4,4,4,3,4,2,4,2,4,6,5,38,34,0.0,3.0,11.0,4.0,0.0,0.0,5.0,7.0,5.0,1.0,33,R1 Front,1,False,71.5,1,72,71,1,-5,4,True,True,1.8,,48,,15.384615384615385,True,0
Emil Riegger,T48,48,True,United States of America,+3,True,16,Lake,72,2,Ocean,Front,71,1,143,Lake→Ocean,5,4,3,5,5,5,3,4,4,5,4,4,3,3,3,4,3,5,38,34,5,3,4,5,4,4,4,4,4,3,5,4,3,4,4,4,3,4,37,34,1.0,3.0,7.0,7.0,0.0,0.0,1.0,15.0,2.0,0.0,34,R1 Back,-1,True,71.5,1,72,71,1,4,3,False,True,1.2,,48,,15.384615384615385,True,0
Zachary Miller,T48,48,True,United States of America,+3,True,16,Ocean,70,0,Lake,Front,73,3,143,Ocean→Lake,4,3,4,5,3,4,4,4,4,3,4,4,5,4,4,4,3,4,35,35,5,5,4,5,3,5,4,3,4,3,4,4,3,3,3,6,5,4,38,35,0.0,1.0,16.0,1.0,0.0,0.0,3.0,9.0,6.0,0.0,35,R1 Front,3,False,71.5,3,73,70,3,0,3,False,True,0.4,,48,,15.384615384615385,True,0
Payne Denman,T48,48,True,United States of America,+3,True,16,Lake,71,1,Ocean,Back,72,2,143,Lake→Ocean,6,4,4,4,4,4,5,3,3,4,3,4,3,4,2,5,5,4,37,34,4,3,3,4,3,4,4,5,6,3,6,4,4,4,4,4,3,4,36,36,0.0,3.0,12.0,2.0,1.0,0.0,2.0,13.0,2.0,1.0,34,R1 Back,1,False,71.5,1,71,72,-1,3,0,False,False,-0.2,,48,,15.384615384615385,True,0
Marek Fleming,T48,48,True,United States of America,+3,True,16,Lake,75,5,Ocean,Back,68,-2,143,Lake→Ocean,5,4,4,5,5,3,4,4,4,4,5,4,3,4,3,5,5,4,38,37,5,3,5,4,2,5,4,4,4,3,4,4,3,4,4,4,3,3,36,32,0.0,1.0,11.0,6.0,0.0,0.0,5.0,10.0,3.0,0.0,32,R2 Back,-7,True,71.5,7,75,68,7,1,4,False,True,2.4,,48,,15.384615384615385,True,0
